tag_id,tag_type,street_name,vehicle_name,traffic_sign_type,location_226,location_316
206,Light,,,,,
207,Light,,,,,
208,Light,,,,,
209,Light,,,,,
210,Light,,,,,
211,Light,,,,,
212,Light,,,,,
213,Light,,,,,
214,Light,,,,,
215,Light,,,,,
216,Light,,,,,
217,Light,,,,,
218,Light,,,,,
219,Light,,,,,
220,Light,,,,,
221,Light,,,,,
222,Light,,,,,
223,Light,,,,,
224,Light,,,,,
225,Light,,,,,
226,Light,,,,,
227,Light,,,,,
228,Light,,,,,
229,Light,,,,,
300,Localization,,,,,
301,Localization,,,,,
302,Localization,,,,,
303,Localization,,,,,
304,Localization,,,,,
305,Localization,,,,,
306,Localization,,,,,
307,Localization,,,,,
308,Localization,,,,,
309,Localization,,,,,
310,Localization,,,,,
311,Localization,,,,,
312,Localization,,,,,
313,Localization,,,,,
314,Localization,,,,,
315,Localization,,,,,
316,Localization,,,,,
317,Localization,,,,,
318,Localization,,,,,
319,Localization,,,,,
320,Localization,,,,,
321,Localization,,,,,
422,StreetName,BROOKS ST,,,,
423,StreetName,SHAH AVE,,,,
424,StreetName,MICALI ST,,,,
425,StreetName,REIF AVE,,,,
426,StreetName,KASAN ST,,,,
427,StreetName,KASAN ST,,,,
428,StreetName,CHANDRA ST,,,,
429,StreetName,CHANDRA ST,,,,
430,StreetName,WALTZ AVE,,,,
431,StreetName,WALTZ AVE,,,,
432,StreetName,KIM AVE,,,,
433,StreetName,KIM AVE,,,,
434,StreetName,LOZANO ST,,,,
435,StreetName,LOZANO ST,,,,
436,StreetName,HOGAN AVE,,,,
437,StreetName,HOGAN AVE,,,,
438,StreetName,HOBURG ST,,,,
439,StreetName,HOBURG ST,,,,
440,StreetName,HERR AVE,,,,
441,StreetName,HERR AVE,,,,
442,StreetName,DUBOWSKY ST,,,,
443,StreetName,DUBOWSKY ST,,,,
444,StreetName,ASADA AVE,,,,
445,StreetName,ASADA AVE,,,,
446,StreetName,WILLIAMS ST,,,,
447,StreetName,WILLIAMS ST,,,,
448,StreetName,WILLIAMS ST,,,,
449,StreetName,ROY AVE,,,,
450,StreetName,ROY AVE,,,,
451,StreetName,ROY AVE,,,,
452,StreetName,HOSOI AVE,,,,
453,StreetName,HOSOI AVE,,,,
454,StreetName,HOSOI AVE,,,,
455,StreetName,CHEN AVE,,,,
456,StreetName,CHEN AVE,,,,
457,StreetName,CHEN AVE,,,,
458,StreetName,PERAIRE ST,,,,
459,StreetName,PERAIRE ST,,,,
460,StreetName,PERAIRE ST,,,,
461,StreetName,KAELBLING ST,,,,
462,StreetName,KAELBLING ST,,,,
463,StreetName,KAELBLING ST,,,,
464,StreetName,IAGNEMMA ST,,,,
465,StreetName,IAGNEMMA ST,,,,
466,StreetName,IAGNEMMA ST,,,,
467,StreetName,BREAZEAL ST,,,,
468,StreetName,BREAZEAL ST,,,,
469,StreetName,BREAZEAL ST,,,,
470,StreetName,TEDRAKE ST,,,,
471,StreetName,TEDRAKE ST,,,,
472,StreetName,TEDRAKE ST,,,,
473,StreetName,FRAZZOLI ST,,,,
474,StreetName,FRAZZOLI ST,,,,
475,StreetName,FRAZZOLI ST,,,,
476,StreetName,KARAMAN ST,,,,
477,StreetName,KARAMAN ST,,,,
478,StreetName,KARAMAN ST,,,,
479,StreetName,KARAMAN ST,,,,
480,StreetName,KARAMAN ST,,,,
481,StreetName,RUS AVE,,,,
482,StreetName,RUS AVE,,,,
483,StreetName,RUS AVE,,,,
484,StreetName,RUS AVE,,,,
485,StreetName,RUS AVE,,,,
486,StreetName,LEONARD ST,,,,
487,StreetName,LEONARD ST,,,,
488,StreetName,LEONARD ST,,,,
489,StreetName,LEONARD ST,,,,
490,StreetName,LEONARD ST,,,,
491,StreetName,LEONARD ST,,,,
492,StreetName,LEONARD ST,,,,
493,StreetName,HOW AVE,,,,
494,StreetName,HOW AVE,,,,
495,StreetName,HOW AVE,,,,
496,StreetName,HOW AVE,,,,
497,StreetName,HOW AVE,,,,
498,StreetName,HOW AVE,,,,
499,StreetName,HOW AVE,,,,
500,StreetName,FRAZZOLI ST,,,,
501,StreetName,TEDRAKE ST,,,,
502,StreetName,ASADA AVE,,,,
503,StreetName,BREAZEAL ST,,,,
504,StreetName,DUBOWSKY ST,,,,
505,StreetName,HERR AVE,,,,
506,StreetName,HOBURG ST,,,,
507,StreetName,HOGAN AVE,,,,
508,StreetName,IAGNEMMA ST,,,,
509,StreetName,KAELBLING ST,,,,
510,StreetName,LOZANO ST,,,,
511,StreetName,KIM AVE,,,,
512,StreetName,REIF AVE,,,,
513,StreetName,WALTZ AVE,,,,
514,StreetName,PERAIRE ST,,,,
515,StreetName,CHANDRA ST,,,,
516,StreetName,KASAN ST,,,,
517,StreetName,MICALI ST,,,,
518,StreetName,CHEN AVE,,,,
519,StreetName,HOSOI AVE,,,,
520,StreetName,RUS AVE,,,,
521,StreetName,HOW AVE,,,,
522,StreetName,ROY AVE,,,,
523,StreetName,SHAH AVE,,,,
524,StreetName,WILLIAMS ST,,,,
525,StreetName,LEONARD ST,,,,
526,StreetName,BROOKS ST,,,,
527,StreetName,KARAMAN ST,,,,
528,StreetName,MILFORD ST.,,,,
529,StreetName,TIDOR ST.,,,,
